temperature,time,age,has_children,income,bar,coffeehouse,carryaway,restaurantlessthan20,restaurant20to50,tocoupon_geq5min,tocoupon_geq15min,tocoupon_geq25min,direction_same,direction_opp,y,destination_No Urgent Place,destination_Work,passanger_Friend(s),passanger_Kid(s),weather_Snowy,weather_Sunny,coupon_Carry out & Take away,coupon_Coffee House,coupon_Restaurant(20-50),coupon_Restaurant(<20),expiration_2h,gender_Male,maritalstatus_Single,education_Bachelors degree,education_Graduate degree (Masters or Doctorate),occupation_Legal,occupation_Office & Administrative Support,occupation_Sales & Related,car_Mazda5,car_Scooter and motorcycle,car_crossover,car_do not drive
0.5000000000000001,14,26,0,,,,,,,1,0,0,0,1,1,True,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,True,False,True,False,False
1.0,10,26,0,,,,,,,1,0,0,0,1,0,True,False,True,False,False,True,False,True,False,False,True,True,True,False,True,False,False,True,False,True,False,False
1.0,10,26,0,,,,,,,1,0,0,0,1,1,True,False,True,False,False,True,False,False,False,False,False,True,True,False,True,False,False,True,False,True,False,False
1.0,10,26,0,,,,,,,1,1,0,0,1,0,True,False,True,False,False,True,True,False,False,False,True,True,True,False,True,False,False,True,False,True,False,False
1.0,14,26,0,,,,,,,1,0,0,0,1,1,True,False,True,False,False,True,False,True,False,False,False,True,True,False,True,False,False,True,False,True,False,False
1.0,14,26,0,,,,,,,1,1,0,0,1,0,True,False,True,False,False,True,False,True,False,False,True,True,True,False,True,False,False,True,False,True,False,False
1.0,14,26,0,,,,,,,1,1,0,0,1,1,True,False,True,False,False,True,False,True,False,False,False,True,True,False,True,False,False,True,False,True,False,False
1.0,14,26,0,,,,,,,1,1,0,0,1,1,True,False,True,False,False,True,False,False,False,True,False,True,True,False,True,False,False,True,False,True,False,False
1.0,18,26,0,,,,,,,1,0,0,0,1,0,True,False,True,False,False,True,False,True,False,False,True,True,True,False,True,False,False,True,False,True,False,False
1.0,18,26,0,,,,,,,1,1,0,0,1,1,True,False,True,False,False,True,False,False,False,True,True,True,True,False,True,False,False,True,False,True,False,False
0.5000000000000001,14,26,0,,,,,,,1,0,0,0,1,0,True,False,True,False,False,True,False,True,False,False,True,True,True,False,True,False,False,True,False,True,False,False
0.5000000000000001,14,26,0,,,,,,,1,1,0,0,1,1,True,False,True,False,False,True,True,False,False,False,False,True,True,False,True,False,False,True,False,True,False,False
0.5000000000000001,10,26,0,,,,,,,1,0,0,0,1,1,True,False,False,False,False,True,False,True,False,False,True,True,True,False,True,False,False,True,False,True,False,False
0.5000000000000001,18,26,0,,,,,,,1,0,0,1,0,0,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,True,False,True,False,False
0.5000000000000001,18,26,0,,,,,,,1,1,0,0,1,0,False,False,False,False,False,True,False,False,True,False,False,True,True,False,True,False,False,True,False,True,False,False
1.0,18,26,0,,,,,,,1,0,0,0,1,1,False,False,False,False,False,True,False,True,False,False,True,True,True,False,True,False,False,True,False,True,False,False
0.5000000000000001,7,26,0,,,,,,,1,1,1,0,1,1,False,True,False,False,False,True,False,True,False,False,True,True,True,False,True,False,False,True,False,True,False,False
0.5000000000000001,7,26,0,,,,,,,1,1,1,0,1,0,False,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,True,False,True,False,False
1.0,7,26,0,,,,,,,1,1,0,0,1,0,False,True,False,False,False,True,False,False,True,False,False,True,True,False,True,False,False,True,False,True,False,False
1.0,7,26,0,,,,,,,1,0,0,1,0,0,False,True,False,False,False,True,True,False,False,False,True,True,True,False,True,False,False,True,False,True,False,False
0.5000000000000001,7,26,0,,,,,,,1,0,0,0,1,1,False,True,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,True,False,True,False,False
0.5000000000000001,7,26,0,,,,,,,1,1,0,0,1,0,False,True,False,False,False,True,False,True,False,False,True,True,True,False,True,False,False,True,False,True,False,False
0.5000000000000001,14,41,1,,,,,,,1,0,0,0,1,1,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False
1.0,10,41,1,,,,,,,1,0,0,0,1,1,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False
1.0,10,41,1,,,,,,,1,1,0,0,1,0,True,False,True,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False
1.0,14,41,1,,,,,,,1,1,0,0,1,1,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False
1.0,14,41,1,,,,,,,1,1,0,0,1,0,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False
1.0,18,41,1,,,,,,,1,1,0,0,1,0,True,False,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False,False,False,False,True,False
0.5000000000000001,14,41,1,,,,,,,1,1,0,0,1,1,True,False,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
1.0,10,41,1,,,,,,,1,1,0,0,1,0,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,True,False,False,False,False,True,False
1.0,10,41,1,,,,,,,1,1,0,0,1,0,True,False,False,True,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False
1.0,10,41,1,,,,,,,1,1,0,0,1,0,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
1.0,14,41,1,,,,,,,1,0,0,0,1,0,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False
0.5000000000000001,14,41,1,,,,,,,1,1,0,0,1,0,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False
0.5000000000000001,18,41,1,,,,,,,1,1,0,0,1,0,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False
0.5000000000000001,18,41,1,,,,,,,1,0,0,1,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
0.5000000000000001,18,41,1,,,,,,,1,1,0,0,1,1,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False
1.0,18,41,1,,,,,,,1,0,0,0,1,1,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False
0.5000000000000001,7,41,1,,,,,,,1,1,1,0,1,1,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False
0.5000000000000001,7,41,1,,,,,,,1,1,1,0,1,0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
1.0,7,41,1,,,,,,,1,1,0,0,1,0,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False
1.0,7,41,1,,,,,,,1,0,0,1,0,1,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False
0.5000000000000001,7,41,1,,,,,,,1,1,0,0,1,0,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False
0.5000000000000001,14,26,1,,,,,,,1,0,0,0,1,1,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False
1.0,10,26,1,,,,,,,1,0,0,0,1,1,True,False,True,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False,True,False,False,False
1.0,10,26,1,,,,,,,1,1,0,0,1,0,True,False,True,False,False,True,True,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False
1.0,14,26,1,,,,,,,1,1,0,0,1,1,True,False,True,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False,True,False,False,False
1.0,14,26,1,,,,,,,1,1,0,0,1,1,True,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False
1.0,18,26,1,,,,,,,1,1,0,0,1,1,True,False,True,False,False,True,False,False,False,True,True,True,False,True,False,False,False,False,True,False,False,False
0.5000000000000001,14,26,1,,,,,,,1,1,0,0,1,1,True,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False
1.0,10,26,1,,,,,,,1,1,0,0,1,1,True,False,False,True,False,True,False,False,False,True,True,True,False,True,False,False,False,False,True,False,False,False
1.0,10,26,1,,,,,,,1,1,0,0,1,1,True,False,False,True,False,True,True,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False
